player_name,team,matches_played,goals,assists,passes_completed,shots,possession,minutes_played,yellow_cards,red_cards,top_scorer,contribution
Daniel Parejo,Real Betis,13,17,12,275,89,58.3,1571,0,1,1,29
Raphinha,Real Betis,3,21,8,899,61,67.79,1673,0,1,1,29
Pedri,Villarreal,25,15,13,768,83,48.88,2974,1,1,1,28
Iker Muniain,Villarreal,9,19,18,1097,27,62.77,2842,0,0,1,37
Eden Hazard,Villarreal,14,9,7,458,90,48.85,1607,0,1,1,16
Marco Asensio,Valencia,24,17,10,528,40,46.33,1510,3,0,1,27
Iker Muniain,Valencia,1,11,4,1062,81,59.38,2624,3,1,1,15
Vinicius Jr,Real Madrid,19,16,18,808,45,41.16,1401,3,1,1,34
Jan Oblak,Real Sociedad,33,16,9,558,33,59.58,999,1,0,1,25
Isco,Real Sociedad,12,18,19,208,73,64.81,2091,1,0,1,37
Memphis Depay,Sevilla,13,15,4,631,78,41.6,2003,3,0,1,19
Sergio Ramos,Sevilla,2,9,1,174,61,58.3,2557,3,1,1,10
Gerard Moreno,Real Madrid,23,17,0,372,57,50.93,899,2,0,1,17
Jan Oblak,Real Betis,8,21,9,670,23,63.89,620,3,1,1,30
Samu Castillejo,Villarreal,6,17,1,960,44,43.74,2059,2,1,1,18
Memphis Depay,Villarreal,14,18,6,392,37,59.52,634,3,1,1,24
Iker Muniain,Real Betis,33,12,0,536,95,58.8,1711,1,0,1,12
Lionel Messi,Sevilla,15,17,1,416,83,69.99,1924,0,1,1,18
Eden Hazard,Real Betis,18,11,15,120,20,65.87,1219,2,1,1,26
Robert Lewandowski,Real Madrid,8,13,1,1457,71,64.44,1884,4,0,1,14
Carlos Soler,Sevilla,19,10,12,852,96,63.41,1414,2,1,1,22
Rodrygo,Valencia,25,12,4,165,54,61.14,1292,2,0,1,16
Eden Hazard,Valencia,17,16,6,1420,98,60.18,2839,1,1,1,22
Luka Modric,Valencia,7,10,9,1061,27,43.58,2822,2,1,1,19
Memphis Depay,Fc Barcelona,15,11,0,1332,96,44.64,763,0,1,1,11
Raphinha,Real Sociedad,7,20,3,1267,65,67.03,1771,4,0,1,23
Marcelo,Real Sociedad,13,12,6,280,86,62.2,595,1,1,1,18
Memphis Depay,Sevilla,10,17,5,1182,95,43.68,1551,1,0,1,22
Karim Benzema,Atletico Madrid,16,11,11,1247,82,62.44,2910,0,1,1,22
Marcelo,Real Sociedad,10,20,11,654,41,52.83,1539,4,0,1,31
Koke,Getafe,6,18,19,237,62,47.53,2187,2,1,1,37
Daniel Parejo,Getafe,28,13,3,291,90,47.32,1642,0,0,1,16
Diego Costa,Getafe,35,8,11,252,71,49.23,2124,2,1,0,19
Vinicius Jr,Athletic Bilbao,7,15,1,483,79,58.12,2867,0,1,1,16
Inaki Williams,Real Betis,30,19,6,817,31,46.8,2519,3,0,1,25
Daniel Parejo,Real Madrid,17,6,1,231,77,41.43,1982,0,0,0,7
Inaki Williams,Real Madrid,15,18,10,272,50,52.52,1900,4,1,1,28
Raphael Varane,Sevilla,18,12,9,1107,12,60.55,2809,2,0,1,21
Daniel Parejo,Sevilla,4,12,5,1037,77,58.5,2625,4,1,1,17
Diego Costa,Real Madrid,32,8,8,1478,99,56.91,961,0,1,0,16
Paco Alcacer,Real Betis,20,12,12,156,31,63.46,2876,3,1,1,24
Luka Modric,Real Madrid,24,14,2,1090,17,62.55,1929,1,1,1,16
Luka Modric,Atletico Madrid,15,13,11,254,99,56.58,1908,2,0,1,24
Raphael Varane,Athletic Bilbao,26,10,9,557,96,50.15,2069,2,1,1,19
Gerard Pique,Real Madrid,16,18,3,494,63,63.27,1324,4,0,1,21
Antoine Griezmann,Athletic Bilbao,38,15,1,831,98,66.31,2478,2,0,1,16
Gerard Pique,Sevilla,25,9,9,240,76,68.74,685,2,0,1,18
